WEEKLY CASH FLOW
CASH FLOW ANALYSIS,,,,,,,,
,,,,,,,,
,,,WEEK ENDING,WEEK ENDING,WEEK ENDING,WEEK ENDING,WEEK ENDING,WEEK ENDING
,,DUE,06/2/2007,06/9/2007,06/16/2007,06/23/2007,06/30/2007,07/7/2007
,AMOUNT,DATE,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
BEGINNING BANK BALANCE C1,"$233,881.00",,"$233,881.00","Red($8,719.00)","$135,104.10","$13,936.10","$64,436.10","Red($132,788.90)"
CASH COLLECTED C2,,,,,,,,
Individual Revenue,,,"$11,000.00","$60,000.00","$90,000.00","$15,000.00","$15,000.00","$15,000.00"
Enterprise Revenue,,,"$10,000.00","$20,000.00","$20,000.00","$20,000.00","$15,000.00","$15,000.00"
CIS International,,,$-,"$50,000.00","$2,000.00",$-,$-,$-
CIS Public Policy,,,$-,"$62,500.00","$28,000.00","$15,000.00","$96,500.00","$17,000.00"
Global Vantage,,,$-,"$28,333.00","$5,000.00",$-,$-,$-
Protective Intelligence,,,"$18,000.00","$10,000.00","$23,000.00","$1,500.00","$21,500.00","$10,000.00"
Other Sources,,,$0.00,,,,,
,,,,,,,,
,,,,,,,,
C3,,,,,,,,
TOTAL CASH COLLECTED,,,"$39,000.00","$230,833.00","$168,000.00","$51,500.00","$148,000.00","$57,000.00"
TOTAL AVAILABLE CASH,,,"$272,881.00","$222,114.00","$303,104.10","$65,436.10","$212,436.10","Red($75,788.90)"
CASH PAYMENTS C4,,,,,,,,
Ex-Pat Assignment,,,"$7,000.00","$2,000.00","$1,000.00","$1,000.00","$7,000.00","$7,000.00"
Credit Card settlements,,,$-,$-,$-,$-,$-,$-
Payroll - includes travel reimbursements,,,"$200,000.00",$-,"$205,000.00",$-,"$205,000.00",$-
Benefits,"$30,273.90",,$-,"$30,273.90",$-,$-,$-,"$30,273.90"
Contract Labor,,,"$54,000.00","$28,000.00","$15,000.00",$-,"$54,000.00","$10,000.00"
Commissions,$-,,"$1,003.00","$12,236.00","$40,000.00",$-,$-,$-
Legal,"$2,500.00",,$-,$-,"$4,500.00",$-,$-,$-
Rent,"$25,000.00",,$-,$-,$-,$-,"$25,000.00",$-
Office Supplies,"$1,000.00",,$-,$500.00,$-,,$-,"$1,000.00"
Telephone/cell phone,"$3,000.00",,$-,"$3,000.00",$-,,$-,"$3,000.00"
IT related,"$15,558.49",,$-,$-,"$17,500.00",$-,"$10,000.00",$-
Insurance,"$4,000.00",,"$1,066.00",$-,$-,$-,,"$4,000.00"
Repair and Maintenance,$450.00,,$-,,$-,,$450.00,$-
Utilities,$425.00,,$425.00,,$-,,$425.00,$-
Equipment Leases,"$4,000.00",,$-,"$4,000.00",$-,$-,$-,$-
Loan Payments,$-,,$-,$-,$-,$-,$-,$-
Miscellaneous,"$3,000.00",,"$3,000.00",,$-,$-,"$3,000.00",$-
Professional Services,$350.00,,$350.00,,$350.00,,$350.00,$350.00
Settlements,"$40,000.00",,"$13,848.00",$-,$-,,"$40,000.00",$-
Severance,,,,,"$5,818.00",$-,,
United Bankcard,$908.00,,$908.00,$-,,,$-,$-
DC Office,,,$-,$-,$-,$-,$-,$-
UA Move,,,$-,"$7,000.00",$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
,,,$-,$-,$-,$-,$-,$-
TOTAL EXPENSES,"$100,191.49",,"$281,600.00","$87,009.90","$289,168.00","$1,000.00","$345,225.00","$55,623.90"
,,,,,,,,
